Variance,Mean,Time,Ligand,Kurtosis,Date,Cell,Dose,Skew
2778126.5,18.953613,4.0,IL2,1.5900726,2019-3-19,T-helper,0.001423,1.286412
5184225.5,774.3721,4.0,IL2,10.606181,2019-3-19,T-helper,0.000474,2.5152078
494939680.0,18516.197,2.0,IL2,155.82095,2019-3-19,Tcells,84.0,4.7955413
429210780.0,17967.549,2.0,IL2,1.4181099,2019-3-19,Tcells,28.0,1.2584503
490960600.0,19422.521,2.0,IL2,1.0195723,2019-3-19,Tcells,9.333333,1.1912619
341408700.0,15613.811,2.0,IL2,5.8400316,2019-3-19,Tcells,3.111,1.8402238
226472270.0,11358.521,2.0,IL2,5.411792,2019-3-19,Tcells,1.037037,2.1137009
469551550.0,11528.477,2.0,IL2,9.37988,2019-3-19,Tcells,0.345679,2.9353843
293790460.0,5126.8286,2.0,IL2,27.807331,2019-3-19,Tcells,0.115226,5.1007543
116558170.0,2860.8423,2.0,IL2,22.990915,2019-3-19,Tcells,0.038409,4.684412
19096662.0,762.42944,2.0,IL2,74.39382,2019-3-19,Tcells,0.012803,8.121351
1833862.4,0.0,2.0,IL2,1.937293,2019-3-19,Tcells,0.004268,1.1879015
2778126.5,18.953613,2.0,IL2,1.5900726,2019-3-19,Tcells,0.001423,1.286412
5184225.5,774.3721,2.0,IL2,10.606181,2019-3-19,Tcells,0.000474,2.5152078
733883400.0,20351.041,2.0,IL2,39.98348,2019-3-19,T-regs,84.0,2.739952
679924000.0,19983.217,2.0,IL2,1.6552501,2019-3-19,T-regs,28.0,1.378068
455921100.0,21814.24,2.0,IL2,0.470958,2019-3-19,T-regs,9.333333,0.7729262
270229220.0,20362.203,2.0,IL2,0.7339709,2019-3-19,T-regs,3.111,0.53627026
46222024.0,7178.771,2.0,IL2,0.52653456,2019-3-19,T-regs,1.037037,0.9252267
115929576.0,4242.36,2.0,IL2,32.794743,2019-3-19,T-regs,0.345679,5.3345246
83194500.0,2252.0273,2.0,IL2,32.08648,2019-3-19,T-regs,0.115226,5.243679
16749989.0,613.9287,2.0,IL2,139.69862,2019-3-19,T-regs,0.038409,9.893899
8762278.0,367.36426,2.0,IL2,67.6767,2019-3-19,T-regs,0.012803,6.4397783
8960021.0,216.4253,2.0,IL2,93.40018,2019-3-19,T-regs,0.004268,7.8894615
8682289.0,0.0,2.0,IL2,45.982475,2019-3-19,T-regs,0.001423,5.6918726
8607766.0,566.2803,2.0,IL2,20.465237,2019-3-19,T-regs,0.000474,3.7524314
736669250.0,21950.959,2.0,IL2,2.5979285,2019-3-19,T-helper,84.0,1.3117425
643630200.0,21662.76,2.0,IL2,0.6077175,2019-3-19,T-helper,28.0,1.1114688
497016960.0,16014.789,2.0,IL2,2.1940327,2019-3-19,T-helper,9.333333,1.4683824
280849860.0,16433.238,2.0,IL2,0.5147605,2019-3-19,T-helper,3.111,0.8775075
103973600.0,5106.7026,2.0,IL2,8.430265,2019-3-19,T-helper,1.037037,2.7317545
194499840.0,4260.7354,2.0,IL2,24.23084,2019-3-19,T-helper,0.345679,4.4720836
42312050.0,1252.0869,2.0,IL2,39.05716,2019-3-19,T-helper,0.115226,5.666839
11129800.0,193.69653,2.0,IL2,32.52643,2019-3-19,T-helper,0.038409,5.180613
6274221.5,0.0,2.0,IL2,15.366112,2019-3-19,T-helper,0.012803,3.3782117
3555244.5,45.40088,2.0,IL2,14.488346,2019-3-19,T-helper,0.004268,2.8636441
6293340.5,49.64258,2.0,IL2,12.961476,2019-3-19,T-helper,0.001423,3.2205606
6393180.0,258.58252,2.0,IL2,2.800476,2019-3-19,T-helper,0.000474,1.7012768
736669250.0,21950.959,1.0,IL2,2.5979285,2019-3-19,Tcells,84.0,1.3117425
643630200.0,21662.76,1.0,IL2,0.6077175,2019-3-19,Tcells,28.0,1.1114688
497016960.0,16014.789,1.0,IL2,2.1940327,2019-3-19,Tcells,9.333333,1.4683824
280849860.0,16433.238,1.0,IL2,0.5147605,2019-3-19,Tcells,3.111,0.8775075
103973600.0,5106.7026,1.0,IL2,8.430265,2019-3-19,Tcells,1.037037,2.7317545
194499840.0,4260.7354,1.0,IL2,24.23084,2019-3-19,Tcells,0.345679,4.4720836
42312050.0,1252.0869,1.0,IL2,39.05716,2019-3-19,Tcells,0.115226,5.666839
11129800.0,193.69653,1.0,IL2,32.52643,2019-3-19,Tcells,0.038409,5.180613
6274221.5,0.0,1.0,IL2,15.366112,2019-3-19,Tcells,0.012803,3.3782117
3555244.5,45.40088,1.0,IL2,14.488346,2019-3-19,Tcells,0.004268,2.8636441
6293340.5,49.64258,1.0,IL2,12.961476,2019-3-19,Tcells,0.001423,3.2205606
6393180.0,258.58252,1.0,IL2,2.800476,2019-3-19,Tcells,0.000474,1.7012768
469721570.0,25194.488,1.0,IL2,0.09632707,2019-3-19,T-regs,84.0,0.5509098
261368660.0,12998.063,1.0,IL2,1.3162179,2019-3-19,T-regs,28.0,1.2675127
144728770.0,9188.8545,1.0,IL2,3.192255,2019-3-19,T-regs,9.333333,1.6391593
271630430.0,15713.86,1.0,IL2,3.881267,2019-3-19,T-regs,3.111,1.3992845
139249060.0,6071.75,1.0,IL2,13.705624,2019-3-19,T-regs,1.037037,3.3654377
132735290.0,4451.785,1.0,IL2,14.689234,2019-3-19,T-regs,0.345679,3.6355336
106261650.0,2162.9053,1.0,IL2,54.14641,2019-3-19,T-regs,0.115226,7.3428254
68974240.0,1694.2686,1.0,IL2,31.566952,2019-3-19,T-regs,0.038409,5.6470456
1914260.8,349.00928,1.0,IL2,-0.35862207,2019-3-19,T-regs,0.012803,0.26081282
29455010.0,1030.8809,1.0,IL2,33.320824,2019-3-19,T-regs,0.004268,5.5695047
2910086.2,0.0,1.0,IL2,0.41252708,2019-3-19,T-regs,0.001423,0.6288839
4782771.0,234.90039,1.0,IL2,21.883066,2019-3-19,T-regs,0.000474,3.4801056
505255740.0,24666.947,1.0,IL2,0.7462628,2019-3-19,T-helper,84.0,0.8819713
179394140.0,10452.82,1.0,IL2,3.3520021,2019-3-19,T-helper,28.0,1.703883
124059290.0,9270.88,1.0,IL2,3.4914646,2019-3-19,T-helper,9.333333,1.7087919
326445760.0,13061.029,1.0,IL2,2.4413004,2019-3-19,T-helper,3.111,1.6434666
338016320.0,8323.6,1.0,IL2,31.6372,2019-3-19,T-helper,1.037037,4.593943
126380584.0,4601.45,1.0,IL2,10.805651,2019-3-19,T-helper,0.345679,3.2413068
11522329.0,994.7959,1.0,IL2,26.197918,2019-3-19,T-helper,0.115226,4.5324173
6332116.5,957.29517,1.0,IL2,16.628849,2019-3-19,T-helper,0.038409,3.2521424
2452411.8,494.25903,1.0,IL2,4.1222086,2019-3-19,T-helper,0.012803,1.636054
1628471.0,0.0,1.0,IL2,0.54281807,2019-3-19,T-helper,0.004268,0.7804803
1751111.9,333.17114,1.0,IL2,0.32677174,2019-3-19,T-helper,0.001423,0.6323785
2700926.0,79.14453,1.0,IL2,38.79832,2019-3-19,T-helper,0.000474,4.022318
505255740.0,24666.947,0.5,IL2,0.7462628,2019-3-19,Tcells,84.0,0.8819713
179394140.0,10452.82,0.5,IL2,3.3520021,2019-3-19,Tcells,28.0,1.703883
124059290.0,9270.88,0.5,IL2,3.4914646,2019-3-19,Tcells,9.333333,1.7087919
326445760.0,13061.029,0.5,IL2,2.4413004,2019-3-19,Tcells,3.111,1.6434666
338016320.0,8323.6,0.5,IL2,31.6372,2019-3-19,Tcells,1.037037,4.593943
126380584.0,4601.45,0.5,IL2,10.805651,2019-3-19,Tcells,0.345679,3.2413068
11522329.0,994.7959,0.5,IL2,26.197918,2019-3-19,Tcells,0.115226,4.5324173
6332116.5,957.29517,0.5,IL2,16.628849,2019-3-19,Tcells,0.038409,3.2521424
2452411.8,494.25903,0.5,IL2,4.1222086,2019-3-19,Tcells,0.012803,1.636054
1628471.0,0.0,0.5,IL2,0.54281807,2019-3-19,Tcells,0.004268,0.7804803
1751111.9,333.17114,0.5,IL2,0.32677174,2019-3-19,Tcells,0.001423,0.6323785
2700926.0,79.14453,0.5,IL2,38.79832,2019-3-19,Tcells,0.000474,4.022318
626114940.0,25588.078,0.5,IL2,-0.23555541,2019-3-19,T-regs,84.0,0.6499506
811608260.0,27628.781,0.5,IL2,-0.06659889,2019-3-19,T-regs,28.0,0.7752628
881852400.0,29111.867,0.5,IL2,-0.14679337,2019-3-19,T-regs,9.333333,0.754995
522674300.0,22475.832,0.5,IL2,1.4706411,2019-3-19,T-regs,3.111,1.0257125
133137370.0,6667.4043,0.5,IL2,14.969166,2019-3-19,T-regs,1.037037,3.3660693
124701890.0,2559.2227,0.5,IL2,71.459206,2019-3-19,T-regs,0.345679,7.7392225
32221856.0,1141.0332,0.5,IL2,55.734776,2019-3-19,T-regs,0.115226,6.6644273
59220340.0,1582.5781,0.5,IL2,23.403896,2019-3-19,T-regs,0.038409,4.569261
12615319.0,234.40479,0.5,IL2,56.559467,2019-3-19,T-regs,0.012803,6.3796954
5053997.0,0.0,0.5,IL2,38.26505,2019-3-19,T-regs,0.004268,4.9375834
13239263.0,113.01611,0.5,IL2,35.82334,2019-3-19,T-regs,0.001423,5.494599
4833708.0,303.53516,0.5,IL2,6.689971,2019-3-19,T-regs,0.000474,2.139133
654836160.0,27485.637,0.5,IL2,23.324644,2019-3-19,T-helper,84.0,1.5418218
833358140.0,31488.645,0.5,IL2,-0.38652396,2019-3-19,T-helper,28.0,0.64044416
856571900.0,33121.324,0.5,IL2,-0.44645762,2019-3-19,T-helper,9.333333,0.57559097
396919300.0,26300.15,0.5,IL2,0.21994781,2019-3-19,T-helper,3.111,0.46717846
54955772.0,3594.207,0.5,IL2,12.674312,2019-3-19,T-helper,1.037037,3.2278898
82761864.0,2964.5254,0.5,IL2,22.7782,2019-3-19,T-helper,0.345679,4.305303
35375040.0,1678.1567,0.5,IL2,25.590673,2019-3-19,T-helper,0.115226,4.708078
4863596.5,16.593018,0.5,IL2,32.052193,2019-3-19,T-helper,0.038409,4.606496
27914028.0,103.41504,0.5,IL2,262.62653,2019-3-19,T-helper,0.012803,15.8618965
2562272.0,40.564453,0.5,IL2,14.498192,2019-3-19,T-helper,0.004268,2.7376428
2100144.2,0.0,0.5,IL2,1.8817482,2019-3-19,T-helper,0.001423,1.0459334
5729712.0,859.0305,0.5,IL2,25.854023,2019-3-19,T-helper,0.000474,4.2013745
654836160.0,27485.637,4.0,IL15,23.324644,2019-3-19,Tcells,84.0,1.5418218
833358140.0,31488.645,4.0,IL15,-0.38652396,2019-3-19,Tcells,28.0,0.64044416
856571900.0,33121.324,4.0,IL15,-0.44645762,2019-3-19,Tcells,9.333333,0.57559097
396919300.0,26300.15,4.0,IL15,0.21994781,2019-3-19,Tcells,3.111,0.46717846
54955772.0,3594.207,4.0,IL15,12.674312,2019-3-19,Tcells,1.037037,3.2278898
82761864.0,2964.5254,4.0,IL15,22.7782,2019-3-19,Tcells,0.345679,4.305303
35375040.0,1678.1567,4.0,IL15,25.590673,2019-3-19,Tcells,0.115226,4.708078
4863596.5,16.593018,4.0,IL15,32.052193,2019-3-19,Tcells,0.038409,4.606496
27914028.0,103.41504,4.0,IL15,262.62653,2019-3-19,Tcells,0.012803,15.8618965
2562272.0,40.564453,4.0,IL15,14.498192,2019-3-19,Tcells,0.004268,2.7376428
2100144.2,0.0,4.0,IL15,1.8817482,2019-3-19,Tcells,0.001423,1.0459334
5729712.0,859.0305,4.0,IL15,25.854023,2019-3-19,Tcells,0.000474,4.2013745
535185630.0,12695.105,4.0,IL15,2146.0786,2019-3-19,T-regs,84.0,33.732204
182936260.0,10404.879,4.0,IL15,3.0656018,2019-3-19,T-regs,28.0,1.527649
285825340.0,12268.123,4.0,IL15,3.5662556,2019-3-19,T-regs,9.333333,1.5982181
262711100.0,16859.195,4.0,IL15,-0.20849204,2019-3-19,T-regs,3.111,0.61685514
197295630.0,14798.674,4.0,IL15,-0.91771483,2019-3-19,T-regs,1.037037,0.39542854
84025150.0,5735.73,4.0,IL15,2.0601196,2019-3-19,T-regs,0.345679,1.4911283
40834144.0,3904.7466,4.0,IL15,6.4091167,2019-3-19,T-regs,0.115226,2.2541845
10669429.0,613.31836,4.0,IL15,24.46668,2019-3-19,T-regs,0.038409,4.2318025
25212300.0,455.77246,4.0,IL15,67.18731,2019-3-19,T-regs,0.012803,7.6850266
3351689.0,36.8916,4.0,IL15,1.0101013,2019-3-19,T-regs,0.004268,0.85716146
2562540.5,68.16211,4.0,IL15,0.10445809,2019-3-19,T-regs,0.001423,0.51733077
5515972.0,0.0,4.0,IL15,26.93411,2019-3-19,T-regs,0.000474,3.9939766
255596780.0,11963.875,4.0,IL15,2.997726,2019-3-19,T-helper,84.0,1.6957386
117439120.0,8335.369,4.0,IL15,11.440775,2019-3-19,T-helper,28.0,2.2317834
241912340.0,10833.066,4.0,IL15,3.1069517,2019-3-19,T-helper,9.333333,1.6937712
291003200.0,13489.944,4.0,IL15,0.54213214,2019-3-19,T-helper,3.111,1.1300176
176744100.0,9139.502,4.0,IL15,1.4587274,2019-3-19,T-helper,1.037037,1.493563
60358300.0,4023.018,4.0,IL15,10.8788,2019-3-19,T-helper,0.345679,2.9603882
9589459.0,1047.4502,4.0,IL15,17.908062,2019-3-19,T-helper,0.115226,3.561059
2752432.8,0.0,4.0,IL15,22.16937,2019-3-19,T-helper,0.038409,3.4024148
1600105.5,175.50415,4.0,IL15,0.16149163,2019-3-19,T-helper,0.012803,0.773142
1941605.2,148.74512,4.0,IL15,1.7640758,2019-3-19,T-helper,0.004268,1.0599624
3036188.5,496.88232,4.0,IL15,28.075531,2019-3-19,T-helper,0.001423,3.8368678
2116971.2,608.1748,4.0,IL15,0.3452716,2019-3-19,T-helper,0.000474,0.5915766
255596780.0,11963.875,2.0,IL15,2.997726,2019-3-19,Tcells,84.0,1.6957386
117439120.0,8335.369,2.0,IL15,11.440775,2019-3-19,Tcells,28.0,2.2317834
241912340.0,10833.066,2.0,IL15,3.1069517,2019-3-19,Tcells,9.333333,1.6937712
291003200.0,13489.944,2.0,IL15,0.54213214,2019-3-19,Tcells,3.111,1.1300176
176744100.0,9139.502,2.0,IL15,1.4587274,2019-3-19,Tcells,1.037037,1.493563
60358300.0,4023.018,2.0,IL15,10.8788,2019-3-19,Tcells,0.345679,2.9603882
9589459.0,1047.4502,2.0,IL15,17.908062,2019-3-19,Tcells,0.115226,3.561059
2752432.8,0.0,2.0,IL15,22.16937,2019-3-19,Tcells,0.038409,3.4024148
1600105.5,175.50415,2.0,IL15,0.16149163,2019-3-19,Tcells,0.012803,0.773142
1941605.2,148.74512,2.0,IL15,1.7640758,2019-3-19,Tcells,0.004268,1.0599624
3036188.5,496.88232,2.0,IL15,28.075531,2019-3-19,Tcells,0.001423,3.8368678
2116971.2,608.1748,2.0,IL15,0.3452716,2019-3-19,Tcells,0.000474,0.5915766
298645020.0,22403.75,2.0,IL15,0.55848956,2019-3-19,T-regs,84.0,0.5360848
8446548000.0,24086.04,2.0,IL15,493.05035,2019-3-19,T-regs,28.0,21.561874
267825060.0,19993.922,2.0,IL15,1.0575337,2019-3-19,T-regs,9.333333,0.58946544
276634880.0,20061.049,2.0,IL15,2.9110188,2019-3-19,T-regs,3.111,1.0183393
213380910.0,13279.734,2.0,IL15,-0.35224652,2019-3-19,T-regs,1.037037,0.74313194
30397682.0,3211.217,2.0,IL15,9.666218,2019-3-19,T-regs,0.345679,2.819512
8556551.0,1198.0261,2.0,IL15,52.13261,2019-3-19,T-regs,0.115226,5.704867
2550890.0,508.41577,2.0,IL15,-0.028300524,2019-3-19,T-regs,0.038409,0.43279126
24426962.0,809.5613,2.0,IL15,83.84364,2019-3-19,T-regs,0.012803,8.536223
1690994.0,84.5813,2.0,IL15,0.6960368,2019-3-19,T-regs,0.004268,0.58697784
2134614.8,0.0,2.0,IL15,-0.4125197,2019-3-19,T-regs,0.001423,0.6063989
10316294.0,672.1892,2.0,IL15,71.714264,2019-3-19,T-regs,0.000474,7.4850335
246532780.0,10643.518,2.0,IL15,2.907681,2019-3-19,T-helper,84.0,1.8090143
304710900.0,12885.584,2.0,IL15,4.3298454,2019-3-19,T-helper,28.0,1.7630837
249237840.0,9812.051,2.0,IL15,3.2420325,2019-3-19,T-helper,9.333333,1.9041467
260430980.0,11202.061,2.0,IL15,1.9451752,2019-3-19,T-helper,3.111,1.5270542
98935080.0,5407.174,2.0,IL15,7.683552,2019-3-19,T-helper,1.037037,2.654665
6117266.0,1040.9736,2.0,IL15,6.48015,2019-3-19,T-helper,0.345679,2.4335022
1852061.5,566.7246,2.0,IL15,2.1989527,2019-3-19,T-helper,0.115226,1.1990739
1110973.6,0.0,2.0,IL15,1.3362913,2019-3-19,T-helper,0.038409,0.8096819
2089515.2,299.46533,2.0,IL15,18.358786,2019-3-19,T-helper,0.012803,3.2820837
1912192.4,521.76074,2.0,IL15,0.28742552,2019-3-19,T-helper,0.004268,0.5682608
14914245.0,834.3259,2.0,IL15,40.95648,2019-3-19,T-helper,0.001423,6.3076367
1309489.8,485.77173,2.0,IL15,4.0134563,2019-3-19,T-helper,0.000474,1.3484932
246532780.0,10643.518,1.0,IL15,2.907681,2019-3-19,Tcells,84.0,1.8090143
304710900.0,12885.584,1.0,IL15,4.3298454,2019-3-19,Tcells,28.0,1.7630837
249237840.0,9812.051,1.0,IL15,3.2420325,2019-3-19,Tcells,9.333333,1.9041467
260430980.0,11202.061,1.0,IL15,1.9451752,2019-3-19,Tcells,3.111,1.5270542
98935080.0,5407.174,1.0,IL15,7.683552,2019-3-19,Tcells,1.037037,2.654665
6117266.0,1040.9736,1.0,IL15,6.48015,2019-3-19,Tcells,0.345679,2.4335022
1852061.5,566.7246,1.0,IL15,2.1989527,2019-3-19,Tcells,0.115226,1.1990739
1110973.6,0.0,1.0,IL15,1.3362913,2019-3-19,Tcells,0.038409,0.8096819
2089515.2,299.46533,1.0,IL15,18.358786,2019-3-19,Tcells,0.012803,3.2820837
1912192.4,521.76074,1.0,IL15,0.28742552,2019-3-19,Tcells,0.004268,0.5682608
14914245.0,834.3259,1.0,IL15,40.95648,2019-3-19,Tcells,0.001423,6.3076367
1309489.8,485.77173,1.0,IL15,4.0134563,2019-3-19,Tcells,0.000474,1.3484932
913392830.0,24171.148,1.0,IL15,2.6729188,2019-3-19,T-regs,84.0,1.5252632
715052500.0,25201.105,1.0,IL15,-0.35414028,2019-3-19,T-regs,28.0,0.74018234
857596160.0,27898.793,1.0,IL15,-0.033597946,2019-3-19,T-regs,9.333333,0.84622306
622603970.0,19876.969,1.0,IL15,0.87249327,2019-3-19,T-regs,3.111,1.1267037
360558560.0,14701.04,1.0,IL15,2.058126,2019-3-19,T-regs,1.037037,1.3760402
638713200.0,4961.8545,1.0,IL15,131.7026,2019-3-19,T-regs,0.345679,10.885386
5668018.5,216.66064,1.0,IL15,36.69008,2019-3-19,T-regs,0.115226,4.743542
7424984.0,0.0,1.0,IL15,18.682962,2019-3-19,T-regs,0.038409,3.7051177
3149182.5,122.92969,1.0,IL15,14.610561,2019-3-19,T-regs,0.012803,2.185092
9310654.0,310.21533,1.0,IL15,159.56561,2019-3-19,T-regs,0.004268,9.990239
7563932.0,220.69043,1.0,IL15,131.08049,2019-3-19,T-regs,0.001423,8.606976
28564326.0,852.44775,1.0,IL15,57.370304,2019-3-19,T-regs,0.000474,6.6101265
419692740.0,14511.282,1.0,IL15,0.9708607,2019-3-19,T-helper,84.0,1.3332784
433032860.0,15066.575,1.0,IL15,1.5844927,2019-3-19,T-helper,28.0,1.4048642
505185000.0,17074.938,1.0,IL15,0.96423626,2019-3-19,T-helper,9.333333,1.2682856
388797900.0,13643.905,1.0,IL15,3.9026165,2019-3-19,T-helper,3.111,1.733267
203326200.0,10081.058,1.0,IL15,1.7072358,2019-3-19,T-helper,1.037037,1.5082908
15886109.0,1593.8875,1.0,IL15,36.022823,2019-3-19,T-helper,0.345679,5.0704317
2142221.2,143.46948,1.0,IL15,2.9064636,2019-3-19,T-helper,0.115226,1.4384576
2195629.2,0.0,1.0,IL15,13.725788,2019-3-19,T-helper,0.038409,2.6215787
2181331.8,157.6748,1.0,IL15,33.860085,2019-3-19,T-helper,0.012803,3.4069273
4618680.0,682.3186,1.0,IL15,100.04892,2019-3-19,T-helper,0.004268,7.6347404
2402479.5,383.14014,1.0,IL15,55.240852,2019-3-19,T-helper,0.001423,3.919634
3290852.2,549.1848,1.0,IL15,205.54947,2019-3-19,T-helper,0.000474,8.58766
419692740.0,14511.282,0.5,IL15,0.9708607,2019-3-19,Tcells,84.0,1.3332784
433032860.0,15066.575,0.5,IL15,1.5844927,2019-3-19,Tcells,28.0,1.4048642
505185000.0,17074.938,0.5,IL15,0.96423626,2019-3-19,Tcells,9.333333,1.2682856
388797900.0,13643.905,0.5,IL15,3.9026165,2019-3-19,Tcells,3.111,1.733267
203326200.0,10081.058,0.5,IL15,1.7072358,2019-3-19,Tcells,1.037037,1.5082908
15886109.0,1593.8875,0.5,IL15,36.022823,2019-3-19,Tcells,0.345679,5.0704317
2142221.2,143.46948,0.5,IL15,2.9064636,2019-3-19,Tcells,0.115226,1.4384576
2195629.2,0.0,0.5,IL15,13.725788,2019-3-19,Tcells,0.038409,2.6215787
2181331.8,157.6748,0.5,IL15,33.860085,2019-3-19,Tcells,0.012803,3.4069273
4618680.0,682.3186,0.5,IL15,100.04892,2019-3-19,Tcells,0.004268,7.6347404
2402479.5,383.14014,0.5,IL15,55.240852,2019-3-19,Tcells,0.001423,3.919634
3290852.2,549.1848,0.5,IL15,205.54947,2019-3-19,Tcells,0.000474,8.58766
610716540.0,25903.64,0.5,IL15,-0.5204396,2019-3-19,T-regs,84.0,0.60768014
451207800.0,25948.04,0.5,IL15,-0.66762495,2019-3-19,T-regs,28.0,0.35035667
552026750.0,23713.031,0.5,IL15,-0.09279156,2019-3-19,T-regs,9.333333,0.7806086
734642050.0,27588.547,0.5,IL15,0.45045614,2019-3-19,T-regs,3.111,0.8509037
215486530.0,23405.66,0.5,IL15,-0.6821823,2019-3-19,T-regs,1.037037,-0.21345581
10377656.0,3551.1523,0.5,IL15,-0.07276535,2019-3-19,T-regs,0.345679,0.75991786
3716646.2,1015.38135,0.5,IL15,2.1957932,2019-3-19,T-regs,0.115226,1.0074981
3222078.2,390.89795,0.5,IL15,7.722413,2019-3-19,T-regs,0.038409,1.7698877
2542836.0,321.54785,0.5,IL15,1.484611,2019-3-19,T-regs,0.012803,0.9073902
5584106.5,555.8594,0.5,IL15,322.002,2019-3-19,T-regs,0.004268,11.99309
4283035.0,442.6162,0.5,IL15,10.242394,2019-3-19,T-regs,0.001423,2.3701694
7537101.5,0.0,0.5,IL15,128.54385,2019-3-19,T-regs,0.000474,9.525636
1751264800.0,28253.443,0.5,IL15,48.96187,2019-3-19,T-helper,84.0,5.3225064
742714800.0,27357.535,0.5,IL15,5.598239,2019-3-19,T-helper,28.0,1.7152828
588551940.0,19042.723,0.5,IL15,1.4186125,2019-3-19,T-helper,9.333333,1.3950326
802953400.0,27589.582,0.5,IL15,1.8867517,2019-3-19,T-helper,3.111,1.133191
316789600.0,15671.57,0.5,IL15,0.45462227,2019-3-19,T-helper,1.037037,1.0812762
11788047.0,2839.2234,0.5,IL15,2.221458,2019-3-19,T-helper,0.345679,1.3711374
4467053.0,1271.0701,0.5,IL15,4.4642925,2019-3-19,T-helper,0.115226,1.6884832
3756531.8,990.7388,0.5,IL15,0.43821168,2019-3-19,T-helper,0.038409,0.83251095
3007122.5,1019.13257,0.5,IL15,1.8305922,2019-3-19,T-helper,0.012803,1.3026223
2194001.2,686.17334,0.5,IL15,9.688833,2019-3-19,T-helper,0.004268,1.7117982
6034861.5,1126.457,0.5,IL15,9.293201,2019-3-19,T-helper,0.001423,2.5020947
2162350.2,0.0,0.5,IL15,11.254195,2019-3-19,T-helper,0.000474,2.405289
1751264800.0,28253.443,4.0,IL2,48.96187,2019-3-27,Tcells,84.0,5.3225064
742714800.0,27357.535,4.0,IL2,5.598239,2019-3-27,Tcells,28.0,1.7152828
588551940.0,19042.723,4.0,IL2,1.4186125,2019-3-27,Tcells,9.333333,1.3950326
802953400.0,27589.582,4.0,IL2,1.8867517,2019-3-27,Tcells,3.111,1.133191
316789600.0,15671.57,4.0,IL2,0.45462227,2019-3-27,Tcells,1.037037,1.0812762
11788047.0,2839.2234,4.0,IL2,2.221458,2019-3-27,Tcells,0.345679,1.3711374
4467053.0,1271.0701,4.0,IL2,4.4642925,2019-3-27,Tcells,0.115226,1.6884832
