Date,Ligand,alphStatCov,Dose,Time,Kurtosis,Variance,Mean,Skew,Cell,Bivalent
11/8/2019,WT N-term,-77020.98830648258,0.000474,2.0,110.22887,2241510.5,216.9585,4.9434485,Thelper,0
11/8/2019,WT N-term,886608.8026143245,84.0,1.0,20.738144,200364370.0,12012.072,2.055279,Thelper,0
11/8/2019,WT N-term,987741.0038331911,28.0,1.0,39.1721,166382940.0,9934.2705,2.9249673,Thelper,0
11/8/2019,WT N-term,1735382.2698014278,9.333333,1.0,124.913864,129065864.0,6202.7803,5.531776,Thelper,0
11/8/2019,WT N-term,1714859.0147930842,3.111,1.0,6.4299574,112863590.0,5804.2725,2.441208,Thelper,0
11/8/2019,WT N-term,832832.3642900704,1.037037,1.0,13.2172985,34844016.0,2517.0896,3.2822738,Thelper,0
11/8/2019,WT N-term,253914.61847365764,0.345679,1.0,9108.536,224324720.0,1372.7268,90.649666,Thelper,0
11/8/2019,WT N-term,-4211.350361257336,0.115226,1.0,3237.83,6003695.5,245.0393,42.505535,Thelper,0
11/8/2019,WT N-term,-35743.349877302426,0.038409,1.0,25.68509,2244690.0,277.0747,2.9742768,Thelper,0
11/8/2019,WT N-term,-49842.58634461389,0.012803,1.0,750.6378,2889907.5,235.30615,15.188001,Thelper,0
11/8/2019,WT N-term,-67013.60394313333,0.004268,1.0,6167.62,8539626.0,144.97852,66.5454,Thelper,0
11/8/2019,WT N-term,-65693.58133710081,0.001423,1.0,159.50317,2701204.5,227.53491,6.4850016,Thelper,0
11/8/2019,WT N-term,-94143.43762375698,0.000474,1.0,321.86035,2415644.0,107.52417,8.64145,Thelper,0
11/8/2019,WT N-term,1192696.8893130866,84.0,0.5,0.83610535,194131070.0,13194.733,1.0774477,Thelper,0
11/8/2019,WT N-term,1795180.0105934115,28.0,0.5,1126.4528,303266050.0,12475.37,20.261034,Thelper,0
11/8/2019,WT N-term,1926829.2547382172,9.333333,0.5,3.8376055,132094600.0,6819.7627,2.0301468,Thelper,0
11/8/2019,WT N-term,1629360.3007753263,3.111,0.5,6.636965,104017900.0,5400.6436,2.4802096,Thelper,0
11/8/2019,WT N-term,379250.0176858276,1.037037,0.5,222.42696,17229996.0,1327.76,8.704157,Thelper,0
11/8/2019,WT N-term,524436.6162697747,0.345679,0.5,26.39356,22925762.0,1828.3821,4.3945885,Thelper,0
11/8/2019,WT N-term,48716.33179497403,0.115226,0.5,2759.8586,6137338.5,270.4983,37.447136,Thelper,0
11/8/2019,WT N-term,5486.5904855383,0.038409,0.5,51.08034,3191228.2,364.06616,4.80446,Thelper,0
11/8/2019,WT N-term,-45726.017587297516,0.012803,0.5,89.01047,2340777.2,350.25732,4.744733,Thelper,0
11/8/2019,WT N-term,-33364.54876833994,0.004268,0.5,51.910007,2529342.5,363.59912,4.0543513,Thelper,0
11/8/2019,WT N-term,-34456.02870849544,0.001423,0.5,2097.1597,47707676.0,474.61572,42.27607,Thelper,0
11/8/2019,WT N-term,-40308.879421574755,0.000474,0.5,16.144272,2092480.5,182.22974,2.3221333,Thelper,0
11/8/2019,WT N-term,1095856.2673381206,84.0,4.0,237.43051,212295700.0,11139.752,7.2398834,Thelper,1
11/8/2019,WT N-term,1033777.4387452963,28.0,4.0,2.1161966,140692820.0,9296.149,1.4750835,Thelper,1
11/8/2019,WT N-term,956878.9730361738,9.333333,4.0,3.9290862,112891200.0,8090.009,1.727359,Thelper,1
11/8/2019,WT N-term,1072747.924738899,3.111,4.0,5.655981,102843080.0,6468.3896,2.1761909,Thelper,1
11/8/2019,WT N-term,1014316.8037856162,1.037037,4.0,7.4381924,61813500.0,4031.716,2.5337057,Thelper,1
11/8/2019,WT N-term,1415137.4428203513,0.345679,4.0,15.953995,96220510.0,4843.7715,3.0464303,Thelper,1
11/8/2019,WT N-term,1223386.3892051843,0.115226,4.0,11.066577,62527130.0,3560.5833,2.8094063,Thelper,1
11/8/2019,WT N-term,1297723.6089382123,0.038409,4.0,91.565445,89877400.0,4129.509,5.3119426,Thelper,1
11/8/2019,WT N-term,761898.8687269989,0.012803,4.0,62.528442,40046440.0,2419.2097,5.202044,Thelper,1
11/8/2019,WT N-term,251978.82509917492,0.004268,4.0,58.726067,10240569.0,911.50635,5.9336514,Thelper,1
11/8/2019,WT N-term,2493.8916001899056,0.001423,4.0,3512.9688,15259095.0,440.78223,52.051888,Thelper,1
11/8/2019,WT N-term,6147.510431740532,0.000474,4.0,764.6075,3966336.2,107.086914,16.574465,Thelper,1
11/8/2019,WT N-term,580841.0658969119,84.0,2.0,2.848886,140554900.0,9133.976,1.5803679,Thelper,1
11/8/2019,WT N-term,443158.72605539125,28.0,2.0,3.588924,118958030.0,8183.796,1.7345271,Thelper,1
11/8/2019,WT N-term,736168.6116919197,9.333333,2.0,61.264404,94468840.0,5560.6387,4.326602,Thelper,1
11/8/2019,WT N-term,968116.9501976105,3.111,2.0,180.26009,79169380.0,4135.2373,7.0875783,Thelper,1
11/8/2019,WT N-term,985852.3957564497,1.037037,2.0,12.184187,51580400.0,3215.1965,3.067138,Thelper,1
11/8/2019,WT N-term,1103699.0926432235,0.345679,2.0,10.156371,76308990.0,4173.7314,3.0262146,Thelper,1
11/8/2019,WT N-term,869618.0946785173,0.115226,2.0,8.893241,37747148.0,2643.0388,2.8114479,Thelper,1
11/8/2019,WT N-term,427824.33029391913,0.038409,2.0,37.673763,18528646.0,1388.5315,4.9525,Thelper,1
11/8/2019,WT N-term,127437.05169054065,0.012803,2.0,528.7429,7162778.5,597.3994,14.261226,Thelper,1
11/8/2019,WT N-term,-2636.829809524683,0.004268,2.0,1126.1873,4142713.2,415.8755,21.474524,Thelper,1
11/8/2019,WT N-term,-47282.53378903813,0.001423,2.0,2378.8787,4790244.0,135.22778,35.767803,Thelper,1
11/8/2019,WT N-term,-54525.375270949386,0.000474,2.0,523.18945,2405925.5,0.0,12.144727,Thelper,1
11/8/2019,WT N-term,593625.8287640882,84.0,1.0,1.0847111,161667150.0,10979.575,1.2126292,Thelper,1
11/8/2019,WT N-term,331836.524753534,28.0,1.0,1.2956014,141662820.0,10139.27,1.273133,Thelper,1
11/8/2019,WT N-term,985489.9649833947,9.333333,1.0,3.7331753,115332616.0,7474.289,1.9220704,Thelper,1
11/8/2019,WT N-term,1355343.4919143762,3.111,1.0,6.7584543,98818760.0,5584.076,2.4657893,Thelper,1
11/8/2019,WT N-term,1144888.56119238,1.037037,1.0,4.6059356,55883160.0,4084.5173,2.1461036,Thelper,1
11/8/2019,WT N-term,1582709.1269262685,0.345679,1.0,5.527298,107687544.0,5989.1553,2.2465236,Thelper,1
11/8/2019,WT N-term,851087.6627179577,0.115226,1.0,631.35333,41767724.0,2568.1252,14.2324505,Thelper,1
11/8/2019,WT N-term,478680.43144303886,0.038409,1.0,22.549665,16496788.0,1618.011,4.1038065,Thelper,1
11/8/2019,WT N-term,80193.42613625852,0.012803,1.0,32.010338,3672120.2,517.2268,4.00024,Thelper,1
11/8/2019,WT N-term,-7645.582454206151,0.004268,1.0,1726.9327,3763205.2,278.14136,27.735415,Thelper,1
11/8/2019,WT N-term,-45122.04928993474,0.001423,1.0,309.1497,2661792.5,285.8911,10.199005,Thelper,1
11/8/2019,WT N-term,-54961.99655774546,0.000474,1.0,6137.8843,7819883.0,197.08057,67.62828,Thelper,1
11/8/2019,WT N-term,1263621.4679846007,84.0,0.5,0.26358843,246326180.0,15981.619,0.88893217,Thelper,1
11/8/2019,WT N-term,1670773.7062813053,28.0,0.5,0.5917363,255669260.0,15050.58,1.0453877,Thelper,1
11/8/2019,WT N-term,2039252.4358113892,9.333333,0.5,2.4848022,182592050.0,10674.014,1.587589,Thelper,1
11/8/2019,WT N-term,2471743.907482608,3.111,0.5,2.2245202,203474860.0,9718.511,1.6762109,Thelper,1
11/8/2019,WT N-term,2262367.3792322357,1.037037,0.5,1837.9255,270516260.0,8303.471,28.558226,Thelper,1
